SampleID n_geno_missing n_het_total n_hom_total n_het_covered n_hom_covered n_het_consistent n_hom_consistent perc_het_consistent perc_hom_consistent n_het_in_ase
HG00308 0 25911 59574 202 472 95 310 0 0 22
HG00309 0 28492 56993 247 427 104 274 0 0 24
HG00310 0 28403 57082 205 469 97 309 0 0 29
HG00311 0 29082 56403 282 392 129 264 0 0 35
HG00313 0 26698 58787 176 498 81 322 0 0 22
HG00315 0 28313 57172 199 475 81 299 0 0 19
HG00319 0 26723 58762 186 488 97 328 0 0 20
HG00320 0 28025 57460 208 466 97 306 0 0 25
HG00321 0 25816 59669 207 467 100 310 0 0 23
HG00323 0 28693 56792 266 408 121 272 0 0 33
HG00324 0 28618 56867 238 436 106 285 0 0 35
HG00325 0 25111 60374 180 494 69 306 0 0 22
HG00326 0 26915 58570 205 469 109 321 0 0 25
HG00327 0 27477 58008 187 487 91 321 0 0 18
HG00328 0 24735 60750 193 481 88 312 0 0 32
HG00329 0 28612 56873 242 432 100 275 0 0 26
HG00330 0 27497 57988 224 450 97 290 0 0 27
HG00331 0 28465 57020 200 474 119 336 0 0 23
HG00332 0 25470 60015 204 470 85 298 0 0 27
HG00334 0 27733 57752 220 454 116 313 0 0 24
HG00335 0 28991 56494 190 484 84 311 0 0 21
HG00336 0 28649 56836 239 435 110 288 0 0 34
HG00337 0 29185 56300 255 419 114 276 0 0 27
HG00338 0 27216 58269 239 435 111 289 0 0 36
HG00339 0 27237 58248 215 459 100 302 0 0 26
HG00341 0 26764 58721 186 488 100 331 0 0 21
HG00342 0 27117 58368 202 472 88 303 0 0 22
HG00343 0 28434 57051 236 438 109 290 0 0 31
HG00344 0 28173 57312 214 460 77 280 0 0 20
HG00345 0 26400 59085 164 510 79 332 0 0 17
HG00346 0 27375 58110 242 432 113 288 0 0 32
HG00349 0 27582 57903 186 488 73 304 0 0 14
HG00350 0 27624 57861 201 473 83 299 0 0 24
HG00351 0 28483 57002 198 476 102 321 0 0 22
HG00353 0 27515 57970 202 472 81 296 0 0 19
HG00355 0 26794 58691 208 466 94 303 0 0 27
HG00356 0 27633 57852 212 462 91 296 0 0 22
HG00358 0 22387 63098 126 548 50 341 0 0 10
HG00360 0 28327 57158 239 435 104 282 0 0 25
HG00361 0 28589 56896 223 451 97 291 0 0 34
HG00362 0 30370 55115 229 445 108 296 0 0 24
HG00364 0 26616 58869 193 481 95 319 0 0 21
HG00365 0 27857 57628 226 448 97 288 0 0 28
HG00366 0 27630 57855 196 478 89 310 0 0 26
HG00367 0 27679 57806 182 492 83 318 0 0 22
HG00369 0 26408 59077 188 486 72 301 0 0 29
HG00371 0 26114 59371 171 503 77 323 0 0 24
HG00372 0 27202 58283 241 433 96 272 0 0 31
HG00373 0 25816 59669 186 488 92 323 0 0 23
HG00375 0 25386 60099 184 490 85 318 0 0 27
HG00376 0 26526 58959 232 442 114 299 0 0 27
HG00378 0 28698 56787 228 446 105 294 0 0 33
HG00379 0 29765 55720 253 421 127 291 0 0 29
HG00380 0 30178 55307 251 423 107 273 0 0 30
HG00381 0 27339 58146 213 461 204 408 0 0 28
HG00382 0 26166 59319 227 447 101 291 0 0 36
HG00383 0 27748 57737 245 429 108 280 0 0 23
HG00384 0 29297 56188 235 439 104 286 0 0 28
HG01334 0 26794 58691 239 435 101 279 0 0 34
HG01789 0 28412 57073 221 453 99 295 0 0 25
HG01790 0 29052 56433 232 442 103 288 0 0 30
HG01791 0 28025 57460 207 467 95 305 0 0 21
HG02215 0 27847 57638 196 478 83 304 0 0 27
NA06984 0 26751 58734 191 483 93 319 0 0 20
NA06985 0 28825 56660 234 440 99 282 0 0 23
NA06986 0 26546 58939 192 482 108 333 0 0 30
NA06989 0 28129 57356 229 445 95 283 0 0 34
NA06994 0 25087 60398 169 505 62 310 0 0 20
NA07037 0 30136 55349 227 447 98 288 0 0 27
NA07048 0 25703 59782 186 488 84 315 0 0 25
NA07051 0 28710 56775 176 498 77 318 0 0 23
NA07056 0 26998 58487 234 440 96 279 0 0 27
NA07347 0 28861 56624 235 439 89 271 0 0 29
NA07357 0 27577 57908 218 456 88 287 0 0 24
